date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:37:15	363961/363961	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Aug%202024%2013:22:35%20GMT	https://techslideitsolutions.com/	/home/nyuydinebill/My%20Web%20Sites/test-site/techslideitsolutions.com/index.html	(from )
07:37:16	137/137	---M-Z	200	added ('OK')	text/plain	date:Tue,%2006%20Aug%202024%2006:07:14%20GMT	https://techslideitsolutions.com/robots.txt		(from )
07:37:18	78627/78627	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2006:07:15%20GMT	https://techslideitsolutions.com/e.src	/home/nyuydinebill/My%20Web%20Sites/test-site/techslideitsolutions.com/e.src	(from https://techslideitsolutions.com/)
07:37:20	5842/5842	---MC-	200	added ('OK')	text/html	date:Tue,%2006%20Aug%202024%2006:37:19%20GMT	http://gmpg.org/xfn/11	/home/nyuydinebill/My%20Web%20Sites/test-site/gmpg.org/xfn/11.html	(from https://techslideitsolutions.com/)
07:37:20	78627/78627	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2006:07:17%20GMT	https://techslideitsolutions.com/Firefox/	/home/nyuydinebill/My%20Web%20Sites/test-site/techslideitsolutions.com/Firefox/index.html	(from https://techslideitsolutions.com/)
07:37:21	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2006%20Aug%202024%2006:07:19%20GMT	https://techslideitsolutions.com/xmlrpc.php	/home/nyuydinebill/My%20Web%20Sites/test-site/techslideitsolutions.com/xmlrpc.2.delayed	(from https://techslideitsolutions.com/)
07:37:23	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Aug%202024%2006:37:23%20GMT	http://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/index.html	(from https://techslideitsolutions.com/)
07:37:23	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2006:37:23%20GMT	http://fonts.googleapis.com/	/home/nyuydinebill/My%20Web%20Sites/test-site/fonts.googleapis.com/index.html	(from https://techslideitsolutions.com/)
07:37:23	231/231	---M--	302	error ('Found')	text/html	date:Tue,%2006%20Aug%202024%2006:37:23%20GMT	http://www.google.com/	/home/nyuydinebill/My%20Web%20Sites/test-site/www.google.com/index.html	(from https://techslideitsolutions.com/)
07:37:23	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2006:37:23%20GMT	http://www.googletagmanager.com/	/home/nyuydinebill/My%20Web%20Sites/test-site/www.googletagmanager.com/index.html	(from https://techslideitsolutions.com/)
07:37:23	87222/87222	---MCZ	200	added ('OK')	application/rss+xml	date:Mon,%2005%20Aug%202024%2013:17:09%20GMT	https://techslideitsolutions.com/feed/	/home/nyuydinebill/My%20Web%20Sites/test-site/techslideitsolutions.com/feed/index.html	(from https://techslideitsolutions.com/)
07:37:25	5385/5385	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/wpf-drop-uploader/css/drop_uploader.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/wpf-drop-uploader/css/drop_uploader861b.css	(from https://techslideitsolutions.com/)
07:37:26	8549/8549	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/wpf-drop-uploader/pe-icon-7-stroke/css/pe-icon-7-stroke.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/wpf-drop-uploader/pe-icon-7-stroke/css/pe-icon-7-stroke861b.css	(from https://techslideitsolutions.com/)
07:37:27	65482/65482	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend861b.css	(from https://techslideitsolutions.com/)
07:37:27	85661/85661	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2022:34:50%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/components/style.min.css?ver=6.6.1	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/components/style.minb6a4.css	(from https://techslideitsolutions.com/)
07:37:29	1980/1980	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2022:34:50%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/preferences/style.min.css?ver=6.6.1	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/preferences/style.minb6a4.css	(from https://techslideitsolutions.com/)
07:37:30	115744/115744	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2022:34:50%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/block-editor/style.min.css?ver=6.6.1	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/block-editor/style.minb6a4.css	(from https://techslideitsolutions.com/)
07:37:31	542/542	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2022:34:50%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/reusable-blocks/style.min.css?ver=6.6.1	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/reusable-blocks/style.minb6a4.css	(from https://techslideitsolutions.com/)
07:37:32	1773/1773	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2022:34:50%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/patterns/style.min.css?ver=6.6.1	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/patterns/style.minb6a4.css	(from https://techslideitsolutions.com/)
07:37:33	59320/59320	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jul%202024%2022:34:50%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/editor/style.min.css?ver=6.6.1	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-includes/css/dist/editor/style.minb6a4.css	(from https://techslideitsolutions.com/)
07:37:34	76449/76449	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Aug%202024%2006:37:33%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/whatsapp-for-wordpress/dist/blocks.style.build.css?ver=6.6.1	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/whatsapp-for-wordpress/dist/blocks.style.buildb6a4.css	(from https://techslideitsolutions.com/)
07:37:34	2368/2368	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/contact-form-7/includes/css/styles861b.css	(from https://techslideitsolutions.com/)
07:37:36	10506/10506	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/uploads/stm_fonts/stm/stm.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/uploads/stm_fonts/stm/stm861b.css	(from https://techslideitsolutions.com/)
07:37:37	12565/12565	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/eroom-zoom-meetings-webinar/assets/css/frontend/main.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/eroom-zoom-meetings-webinar/assets/css/frontend/main861b.css	(from https://techslideitsolutions.com/)
07:37:38	19527/19527	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/whatsapp-for-wordpress/assets/css/style.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/whatsapp-for-wordpress/assets/css/style861b.css	(from https://techslideitsolutions.com/)
07:37:39	17688/17688	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-layout861b.css	(from https://techslideitsolutions.com/)
07:37:40	7043/7043	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen861b.css	(from https://techslideitsolutions.com/)
07:37:41	78784/78784	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/woocommerce/assets/css/woocommerce861b.css	(from https://techslideitsolutions.com/)
07:37:42	103904/103904	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/eroom-zoom-meetings-webinar/nuxy/metaboxes/assets/vendors/font-awesome.min.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/eroom-zoom-meetings-webinar/nuxy/metaboxes/assets/vendors/font-awesome.min861b.css	(from https://techslideitsolutions.com/)
07:37:43	493/493	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor861b.css	(from https://techslideitsolutions.com/)
07:37:44	20215/20215	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min861b.css	(from https://techslideitsolutions.com/)
07:37:45	146740/146740	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:02:38%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.22.3	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/elementor/assets/css/frontend-lite.mindcff.css	(from https://techslideitsolutions.com/)
07:37:46	16223/16223	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min861b.css	(from https://techslideitsolutions.com/)
07:37:47	1168/1168	---MCZ	200	added ('OK')	text/css	date:Wed,%2010%20Jul%202024%2008:05:10%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/uploads/elementor/css/post-6.css?ver=1720598710	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/uploads/elementor/css/post-6861b.css	(from https://techslideitsolutions.com/)
07:37:51	11053/11053	---MCZ	200	added ('OK')	text/css	date:Sat,%2022%20Jun%202024%2011:00:03%20GMT	https://bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.22.0	/home/nyuydinebill/My%20Web%20Sites/test-site/bunny-wp-pullzone-efjkxxbsas.b-cdn.net/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min0599.css	(from https://techslideitsolutions.com/)
